料理名,エネルギーkcal,たんぱく質,総量,亜鉛,銅,セレン,レチノール当量,D,トコフェロールa,B1,B2,ナイアシン,B6,B12,C,食塩相当量
ウィンナーのリゾット,1059.345,28.9,4.6,4.6,0.51,4.24,419.14,0.5,5.8,0.46315,0.3309,7,0.528,1.3345,59.02,3.4
エビチリ,322.52,25.2,2,1.8,0.52,40.32,42.25,0,2.9,0.2698,0.1545,5.6,0.3677,1.918,7.29,6.4
エビマヨサラダ,575.9,30.6,5,2.1,0.44,22.24,39.14,3.4,11.9,0.2456,0.3261,13.4,0.4641,2.72,17.48,1.9
オニオンサラダ,355.96,18.2,4.6,1.1,0.17,2.24,21,3.2,7.6,0.173,0.1738,10.5,0.4954,1.612,21.14,0.8
オニオンスープ,213.56,4.5,4.5,0.9,0.15,2.08,54,0.1,0.7,0.1354,0.0798,1.5,0.4108,0.02,19.04,4.5
オムライス,946.71,37.3,2.7,4.7,0.46,57.54,221.8,2.4,4.3,0.2642,0.6674,5.9,0.5554,1.29,13.22,1.6
オムレツ,1525.75,60.4,5.9,7.3,0.5,116.185,720.72,6.3,10.6,0.6097,1.7988,3.9,0.9314,3.977,97.91,3.8
カキフライ,160.72,11.5,0.6,16,1.11,61.445,42.9,0.2,1.5,0.0784,0.2207,1.9,0.1177,33.819,3.6,2.2
カツ丼,873.89,30.6,2.6,3.6,0.38,34.02,21,0.3,1.1,0.8022,0.267,9,0.5778,0.648,8.52,2.9
カラフルサラダ,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.4
カラフルビーンズ,47.835,2.8,2.1,0.4,0.07,0.525,35.51,0,0.2,0.03565,0.02235,0.2,0.03485,0.0045,0.2,0.4
カレイの南蛮漬け,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
カレイの唐揚げ,118.95,10.8,0,0.3,0.01,23.505,9.5,1,1.4,0.06,0.17,3.1,0.22,0.75,2.5,0.6
カレードリア,605.95,16.5,0.7,2.7,0.27,22.7,182.5,1.1,1,0.086,0.3585,0.7,0.106,0.765,0,0.8
カレーピラフ,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,1.1
カレーライス,682.95,18.1,5,3.6,0.41,2.44,361.2,0,1.3,0.2464,0.1978,5,0.5792,0.6,43.58,2.3
カレー味麦ごはん,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.5
キムチ汁,39.49,1.5,1.9,0.1,0.06,0.14,109.5,0,1,0.022,0.0285,0.3,0.0678,0.007,8.65,0.4
キャベツのクリーム煮スープ,340.95,14.7,4.5,1.9,0.11,6.105,88.04,0.8,0.7,0.3413,0.4266,1.8,0.4162,0.843,116.4,3.6
キャベツのリゾット,337.12,18,5.9,1.6,0.23,10.54,270.75,0.1,0.6,0.1924,0.151,7.2,0.7324,0.105,74.78,2.3
キャベツの漬物,90.5,8.4,8.4,0.7,0.06,0,19.9,0,0.4,0.112,0.144,0.7,0.296,0,102.5,5.4
クラムチャウダー,228.16,6.5,1.5,0.9,0.1,17.15,148.12,0.2,0.4,0.1068,0.1658,1.3,0.1757,21.141,17.62,4.5
クリームシチュー,771.04,40.2,10.5,4.4,0.4,36.82,1159.34,0.8,4.9,0.5269,0.5304,13,1.2962,0.605,122.2,2.7
クリームスープ,55.6,1.3,2,0.2,0.08,0.007,71,0,0.1,0.051,0.025,0.6,0.154,0,13.4,0.7
グリーンサラダ,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.5
コロッケ,792.13,17.1,2.5,2.5,0.31,67.36,187.3,1.1,8.1,0.231,0.5761,4.8,0.294,2.665,9.12,1.1
コンソメスープ,43.15,1,1.4,0.1,0.05,0.005,0,0,0,0.0375,0.0165,0.3,0.1215,0,10.65,0.5
コールスロー,179.82,3.9,5.2,0.9,0.12,2.02,271,0.1,1.5,0.1432,0.103,1.3,0.3432,0.036,53.08,0.3
コーンクリームスープ,12.4,0.3,0.7,0,0.02,0.004,0,0,0,0.012,0.004,0,0.044,0,2,0.4
コーンサラダ,0.71,0.1,0,0,0,0.114,0,0,0,0.0005,0.0017,0,0.0017,0.001,0,0.5
コーンポタージュ,388.665,13.7,6,2.3,0.17,8.13,228.84,0.8,1.2,0.18965,0.5552,2.7,0.2232,0.7515,34.36,2.5
サケのホイル巻き,181.028,19,1.6,0.7,0.16,24.811,261.382,25.7,1.4,0.18254,0.25814,6.8,0.59236,4.726,9.104,1.4
サラダ,458.08,7,13.5,1.8,0.59,2.94,92,0,7.9,0.2982,0.4794,4.9,0.9004,0,69.57,0.2
サラダうどん,407.43,18.1,3.4,1.2,0.21,14.31,100.25,2.1,4.9,0.1523,0.2454,6.4,0.2224,1.142,21.25,2.1
シャキシャキサラダ,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.5
シーザーサラダ,332.05,16.4,1.9,2.3,0.15,18.45,164.99,1.2,2.6,0.2868,0.4073,1.9,0.2257,0.968,29.45,1.6
シーフードカレー,14.4,3.1,0,0.4,0.08,9.152,1.35,0,0.4,0.0075,0.0315,0.4,0.015,8.07,0.3,0.6
シーフードリゾット,450.805,26.8,1.5,3.1,0.56,15.45,11.16,0,3.6,0.09435,0.0876,3.6,0.3179,23.4655,4.93,1.8
ジャーマンポテト,315.38,8.6,2.3,1,0.15,0.945,52,0.4,0.5,0.2132,0.0954,2.7,0.3084,0.56,33.52,1.7
スパゲティサラダ,361.9,23.1,1.6,2,0.12,18.465,155.1,2.7,5.5,0.253,0.4132,6.9,0.2585,1.6,25.75,4
チキンカレー,2386.8,80.3,31,9.7,1.48,55.135,1048.48,1.2,17,0.8988,1.2423,25.4,3.3276,1.2,83.58,3.2
チキンチーズカツ,246.585,16.6,0.6,1.1,0.04,14.345,58.4,0.1,1.3,0.0718,0.17235,5.4,0.2878,0.3525,0.86,1
チキンライス,6.45,0.1,0.5,0,0.01,0.007,35.5,0,0,0.0075,0.004,0,0.021,0,0.95,0.7
チャーハン,648.52,21.8,2.3,3.6,0.4,18.34,76.05,1.1,3,0.311,0.3109,4.1,0.1624,0.802,7.1,3.5
チリコンカン,6.608,0.2,0.3,0,0.01,0.004,0,0,0,0.00657,0.00221,0,0.02659,0,1.036,0.1
チンゲンサイのスープ,26.16,2.9,1.2,0.5,0.05,0.443,73.96,0,0.3,0.029,0.061,0.5,0.0464,1.144,2.82,1
チンゲン菜ソテー,0.71,0.1,0,0,0,0.112,0,0,0,0.0005,0.0017,0,0.0017,0.001,0,0.3
チンジャオロース,357.541,25.6,3,5.1,0.2,4.53,22.66,0.2,2.7,0.1749,0.3347,6.4,0.78685,1.636,46.36,5.9
チンジャオロースー,2.3998,0.3,0,0,0,0.3718,0,0,0,0.00169,0.005746,0,0.005746,0.00338,0,0.5
チーズハンバーグ,1123.145,59.6,2.7,15.4,0.4,38.62,131.64,0.8,4,0.3017,0.76295,11.2,0.83965,4.752,11.37,3.5
ツナとブロッコリーのサラダ,1.55,0,0.1,0,0,0.002,0,0,0,0.0015,0.0005,0,0.0055,0,0.25,0.2
ツナマヨパスタ,463.1,21.1,1.4,1.4,0.1,1.635,84.65,3.4,9.9,0.1427,0.2682,10.4,0.2347,1.879,22,2.9
ツナマヨ丼,739.5,22,1.5,2,0.29,3.58,13.65,3.3,7.8,0.1173,0.156,10.3,0.2078,1.636,3.6,1
トマトとなすのカレー,879.56,19.3,20.8,3.5,0.98,12.18,439.8,0,9.8,0.7404,0.4338,8.8,1.2728,0,152.44,2.3
トマトとなすのグラタン,215.16,9,2,0.9,0.06,0.085,77.11,0,0.7,0.1938,0.1521,1.8,0.1476,0.225,9.72,3.3
トマトとモッツァレラチーズのサラダ,436.37,20.5,1.7,3,0.11,15.74,317.39,0.2,3.4,0.1162,0.5176,1.9,0.216,1.3,25.62,2.3
トマトのチキンドリア,768.99,22.1,6.6,3.4,0.47,19.175,370.3,0.3,5.4,0.3725,0.3049,6.6,0.6702,0.424,81.76,1.3
トマトサラダ,585.1,20.9,9,2,0.4,27.195,475.25,2.7,13.8,0.4928,0.4785,11,0.8128,1.331,130.3,2.4
トン汁,56.03,1.6,2.1,0.1,0.07,0.18,109.9,0,1.3,0.033,0.0325,0.3,0.0846,0.009,10.25,0.5
ドライカレー,22.562,0.6,1.3,0.1,0.04,0.009,71,0,0,0.02447,0.0112,0.2,0.07845,0,3.43,0.4
ニラ玉,432.97,22.6,2.7,2.5,0.21,53.845,537.5,3,5.9,0.2045,0.852,1.2,0.309,1.585,19,1.8
ハッシュドビーフライス,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.2
ハッシュドポテト,201.72,1.9,1.6,0.2,0.12,0.005,0,0,1.5,0.108,0.036,1.6,0.216,0,42,0.5
ハンバーグ,1123.145,59.6,2.7,15.4,0.4,38.62,131.64,0.8,4,0.3017,0.76295,11.2,0.83965,4.752,11.37,3.5
バターライス,1294.35,18.9,1.5,4.2,0.67,6.1,145.6,0.2,0.7,0.2443,0.0724,3.7,0.38,0.033,0,2.7
バンバンジー,269.546,19.2,2.2,2.2,0.21,18.6035,78.708,0.4,1.4,0.175895,0.203995,5.8,0.382625,0.3069,20.0575,1.3
バンバンジーサラダ,318.6,46.5,5.4,2.1,0.26,32.8,113.3,0.2,2.4,0.358,0.304,23.6,1.503,0.37,99.4,0.5
パプリカライス,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0.4
パングラタン,603.42,21,3.6,1.9,0.13,18.29,189.39,1.8,4.9,0.2077,0.2694,6.3,0.2835,1.202,46.91,2.4
ビビンバ,3.315,0.3,0,0,0,0.495,0.24,0,0,0.00233,0.00799,0.1,0.00805,0.0045,0.006,0.7
ビーフカレー,0,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0.2
ビーフシチュー,687.73,18.8,4.2,5.2,0.28,1.258,276.78,0,2.6,0.2642,0.3051,5.2,0.6289,1.115,44.4,4.5
ピザ,697.38,34.8,4.4,5.2,0.44,4.13,267.5,0.2,2,0.3255,0.7312,4.4,0.2247,2.72,5.6,4.3
ピーマンの肉詰め,685.97,23.1,3.5,6,0.24,22.995,98.9,0.6,5.5,0.1695,0.3591,5.2,0.53,1.852,66.74,4.7
ペスカトーレ,38.18,3.9,1.8,0.5,0.14,4.806,72,0.1,0.4,0.04595,0.03335,1,0.10065,0.28,3.66,0.2
ポテトサラダ,415.23,13.4,6.1,1.9,0.42,20.125,104.3,1.1,2.1,0.342,0.3749,4.1,0.6982,0.531,100.92,1
ポトフ,194.3,7.1,5.3,0.9,0.14,1.04,529.6,0.2,0.6,0.1988,0.1262,2.1,0.3834,0.335,55.9,2.9
ポークカレー,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.2
ポークピカタ,476.79,26.3,0.1,2.3,0.09,38.725,88.5,1.1,2.6,0.7263,0.3874,7.4,0.3649,0.795,1,0.8
マカロニグラタン,307.83,24.2,2.3,1.6,0.11,12.84,79.9,0.2,0.7,0.1337,0.1566,8.9,0.6169,0.375,9.62,0.8
マカロニサラダ,394.01,13.6,2.8,1.1,0.15,2.225,23.7,1.8,5.6,0.2387,0.1493,7.2,0.2926,0.916,25.24,2.7
マーボーなす丼,33.324,2.3,2.2,0.3,0.06,0.921,32.42,0.2,0.4,0.03893,0.06953,0.8,0.07799,0.011,5.744,1.3
マーボー春雨,616.81,18.4,3.5,2.7,0.15,18.86,23.4,0.3,0.9,0.60665,0.2491,5.1,0.5237,0.521,10.34,5.4
マーボー豆腐,21.022,1.5,1.1,0.1,0.03,0.924,29.6,0.2,0.3,0.01946,0.04657,0.5,0.04788,0.011,2.027,1.3
ミネストローネ,42.508,0.9,1.4,0.1,0.06,0.009,71,0,0,0.03957,0.02021,0.4,0.11859,0,10.336,0.6
ミラノ風ドリア,623.9,13.5,0.7,2,0.23,5.1,149,0.1,0.4,0.193,0.172,2,0.062,0.27,6,2.1
ミルフィーユカツ,381.131,18.4,0.2,2.8,0.1,1.885,14.25,0.4,1.9,0.6411,0.25545,3.6,0.2874,0.5495,2,0.6
ミートソース,336.84,11.9,1.3,2.9,0.09,5.905,141.66,0.1,1.4,0.104,0.1543,2.6,0.2714,1.032,7.62,3.1
ミートソースドリア,629.4,15,1.7,2.2,0.39,12.1,149,0.3,0.4,0.223,0.317,3.5,0.117,0.27,6,2.1
ミートソースパスタ,27.93,0.7,1.7,0.1,0.05,0.015,106.5,0,0.1,0.0311,0.01495,0.2,0.0988,0,4.17,0.5
ライスバーガー,371.7,14.3,0.8,3,0.22,1.7,8.5,0.1,0.4,0.089,0.121,2.9,0.269,0.75,2,0.1
ラーメン,477.81,25.5,4.3,1.5,0.17,50.7015,87.95,0.7,0.8,0.774175,0.348075,9.2,0.312525,1.115,12.475,5.9
レタスの玉子スープ,138.84,7.6,0.7,0.8,0.07,17.74,94.5,1,0.8,0.0645,0.2585,0.3,0.094,0.5,3,2.4
レタス炒飯,347.2,19.7,1,2.1,0.19,19.595,94.5,1.3,0.9,0.4955,0.3758,7,0.2053,1.08,12.6,3.2
ローストビーフ,729.16,64.3,1.4,12.1,0.33,6.645,15,0.6,1.6,0.2992,0.6775,15.8,1.6386,4.554,8.88,8.6
ロールキャベツ,576.03,40,6,6.3,0.25,39.045,28,0.8,1.4,1.5097,0.5284,11.7,1.1654,1.205,112.02,2.9
ワンタンスープ,32.67,1.8,1.5,0.1,0.04,0.24,86.5,0,0.4,0.0253,0.0345,0.3,0.044,0.027,3.77,0.5
七夕汁,14.44,1.2,1.4,0.2,0.02,0.743,41.5,0.1,0.1,0.0425,0.0382,0.8,0.0328,0.02,0.9,1
三色ナムル,2.13,0.2,0,0,0,0.33,0,0,0,0.0015,0.0051,0,0.0051,0.003,0,0.4
中華スープ,23.02,1,0.9,0.1,0.03,0.225,71.08,0,0.2,0.0162,0.0216,0.1,0.0232,0.002,1.19,0.8
中華丼,17.95,3.1,0,0.5,0.03,0.555,4.6,0,0.2,0.0125,0.0665,0.4,0.0225,2.285,0.6,1.4
中華風まぜごはん,3.195,0.3,0,0,0,0.497,0,0,0,0.00225,0.00765,0.1,0.00765,0.0045,0,0.9
中華風スープ,277.93,14.5,1.5,1.6,0.13,25.94,84.54,1.3,0.9,0.224,0.3135,1.8,0.2616,0.873,19.42,5
五月汁,39.85,1.9,2.2,0.3,0.07,0.552,76.55,0,0.3,0.0555,0.057,0.8,0.1005,0.005,18,0.9
五目ごはん,3.55,0.4,0,0,0,0.553,0,0,0,0.0025,0.0085,0.1,0.0085,0.005,0,1
五目ちらし寿司,1.42,0.2,0,0,0,0.226,0,0,0,0.001,0.0034,0,0.0034,0.002,0,0.9
五目豆,4.54,0.2,0,0,0,0.33,0,0,0,0.0015,0.0051,0,0.0052,0.003,0,0.4
八宝菜,35.34,3.8,2,0.5,0.13,3.895,112.9,0,0.7,0.0325,0.0423,0.7,0.0803,0.214,7.95,1.2
冬瓜汁,578.75,46,6.6,4.7,0.3,5.38,1059.2,0.2,1.4,1.93645,0.5721,15,0.8806,0.726,79.43,5.2
冬菜と白菜のみそ汁,27.03,1.3,1.2,0.2,0.04,0.18,74.3,0,0,0.0135,0.017,0.3,0.0246,0.009,3.4,0.5
冷やしたぬきうどん,225.24,6,1.8,0.3,0.08,4,0.42,0,0.2,0.046,0.0344,0.8,0.0392,0.09,0.84,1.6
冷やし中華,325.63,17.8,3.1,1.2,0.2,30.71,94.25,0.7,1.5,0.4763,0.2424,4.8,0.2574,0.412,39.75,1.4
冷奴,130.79,13,1.2,1.2,0.25,6.7,2.12,0.1,0.3,0.1306,0.0811,1.5,0.1303,0.663,2.88,1.1
冷麺,455.59,26.5,3.5,2.2,0.26,38.5,101.96,1.3,1.4,0.5343,0.4502,8.8,0.2831,1.4,25.79,6
切り干し大根の炒め煮,34.503,1.1,2.1,0.1,0.03,0.47,35.507,0,0,0.03393,0.02421,0.3,0.03898,0.003,2.21,0.4
切り昆布の煮つけ,5.02,0.3,0.3,0,0.01,0.22,71,0,0,0.007,0.0084,0.1,0.0124,0.002,0.4,0.3
切干大根,235.76,9,1.4,1.1,0.1,4.38,259.2,0,0.5,0.0522,0.0642,0.6,0.0894,0.018,2.16,3
切干大根のナムル,2.13,0.2,0,0,0,0.33,0,0,0,0.0015,0.0051,0,0.0051,0.003,0,0.4
切干大根の梅酢あえ,1.775,0.2,0,0,0,0.275,0,0,0,0.00125,0.00425,0,0.00425,0.0025,0,0.4
卯の花,174.47,4.6,6.4,0.6,0.09,2.435,332.6,0,0.4,0.0952,0.0782,0.8,0.1351,0.018,5.56,4.3
即席漬け,6,0.1,0.5,0,0.01,0.004,35.5,0,0,0.009,0.0085,0.1,0.0185,0,3.8,0.4
卵の袋煮,337.265,19.2,0.4,2.1,0.14,31.9,129,1.5,1.3,0.0786,0.4124,0.4,0.12655,0.792,0,3.3
卵カレーライス,67.27,1.4,2.5,0.3,0.09,0.009,142,0,0.2,0.06404,0.03341,0.7,0.18904,0,15.966,0.1
卵雑炊,329.41,13.2,1.1,1.6,0.16,48.58,84.6,1,0.7,0.117,0.3291,6.2,0.2124,2.113,4.2,3.2
厚揚げと大根のオイスターソース煮,24.238,1.9,2.5,0.1,0.03,0.716,256,0.1,2.5,0.02616,0.05337,0.7,0.07738,0.005,10.942,0.8
厚揚げの煮込み,438.28,33.8,4,3.7,0.43,2.48,5.05,0.1,1.4,1.0115,0.2966,6.8,0.4904,0.318,4.6,2.7
和風ハンバーグ,1194.83,54.7,1.1,14.4,0.25,51.245,117.1,1.3,4,0.2795,0.8183,11.5,0.8567,4.549,7,10
回鍋肉,680.26,20.9,6.5,2.8,0.21,15.21,56.14,0.5,3.4,0.6291,0.2565,6.1,0.7196,0.506,125.72,5.1
